Week,RelativeNumberOfSearches
2018-12-02,54
2018-12-09,100
2018-12-16,100
2018-12-23,54
2018-12-30,4
2019-01-06,5
2019-01-13,2
2019-01-20,0
2019-01-27,3
2019-02-03,1
2019-02-10,0
2019-02-17,2
2019-02-24,3
2019-03-03,0
2019-03-10,5
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,1
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,3
2019-05-12,1
2019-05-19,0
2019-05-26,1
2019-06-02,1
2019-06-09,0
2019-06-16,1
2019-06-23,1
2019-06-30,3
2019-07-07,1
2019-07-14,0
2019-07-21,1
2019-07-28,1
2019-08-04,0
2019-08-11,1
2019-08-18,1
2019-08-25,3
2019-09-01,4
2019-09-08,1
2019-09-15,2
2019-09-22,1
2019-09-29,5
2019-10-06,1
2019-10-13,3
2019-10-20,5
2019-10-27,7
2019-11-03,10
2019-11-10,14
2019-11-17,21
2019-11-24,31
2019-12-01,41
2019-12-08,78
2019-12-15,78
2019-12-22,69
2019-12-29,2
2020-01-05,1
2020-01-12,9
2020-01-19,1
2020-01-26,4
2020-02-02,1
2020-02-09,1
2020-02-16,4
2020-02-23,0
2020-03-01,1
2020-03-08,0
2020-03-15,1
2020-03-22,0
2020-03-29,0
2020-04-05,1
2020-04-12,1
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,1
2020-05-31,1
2020-06-07,0
2020-06-14,1
2020-06-21,1
2020-06-28,0
2020-07-05,0
2020-07-12,3
2020-07-19,3
2020-07-26,1
2020-08-02,1
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,1
2020-09-06,3
2020-09-13,3
2020-09-20,3
2020-09-27,3
2020-10-04,1
2020-10-11,3
2020-10-18,7
2020-10-25,9
2020-11-01,10
2020-11-08,10
2020-11-15,19
2020-11-22,26
