Date,Index
201301,97.4
201302,99.3
201303,99.6
201304,98.8
201305,100.8
201306,100.5
201307,102.2
201308,102.6
201309,103.0
201310,104.0
201311,104.2
201312,104.2
201401,106.0
201402,104.1
201403,106.0
201404,101.5
201405,102.2
201406,100.8
201407,101.2
201408,100.3
201409,101.8
201410,102.5
201411,101.2
201412,100.6
201501,104.0
201502,100.5
201503,100.2
201504,100.2
201505,100.1
201506,100.8
201507,100.4
201508,98.8
201509,99.7
201510,99.9
201511,98.6
201512,97.9
201601,98.9
201602,98.0
201603,98.6
201604,99.3
201605,97.3
201606,97.7
201607,98.4
201608,99.9
201609,99.4
201610,99.2
201611,101.3
201612,101.2
201701,100.5
201702,101.8
201703,100.0
201704,101.9
201705,102.0
201706,103.5
201707,101.1
201708,102.5
201709,102.1
201710,102.4
201711,103.1
201712,104.0
201801,99.6
201802,103.5
201803,103.2
201804,102.9
201805,102.9
201806,102.2
201807,103.0
201808,104.0
201809,103.2
201810,104.2
201811,104.0
201812,103.8
201901,100.1
201902,101.6
201903,101.0
201904,101.9
201905,103.0
201906,100.5
201907,101.1
201908,98.7
201909,100.3
201910,95.4
201911,96.4
201912,96.0
202001,97.8
202002,94.0
202003,92.8
202004,84.4
202005,77.5
202006,81.1
202007,84.9
202008,84.6
